newspaper:, Sunstar,,,,,date: ,January.12 2016
title:, Pagpakabana,,,,,Number of Sentences:,9
Author:,,,,,,Classification:,POSITIVE
link: ,http://www.sunstar.com.ph/superbalita-cebu/opinyon/2016/01/12/editoryal-pagpakabana-451317,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
WALAY kurapsyon nga makalusot kon ang tanan aktibong magpakabana labi na ang mga opis­yal sama sa kagamhanan sa lungsod sa Tudela nga naghiusa sa pagreklamo sa proyektong  dalan sa Department of Public Works and Highways (DPWH) nga ilang gitaho nga kabahin sa mga proyekto nga natapos niadtong 2015 bisan walay klaro nga nasugdan ang maong tuig.' ,POSITIVE,,,,,,
Ang konseho nipasar og resolusyon niadong Disyembre 16  2015 nga nangayo og katin-awan sa DPWH 7 bahin sa P40 milyunes nga dalan gikan sa mga lungsod sa San Francisco  Poro sa isla sa Camotes ngadto sa Tudela nga moabot og 2.3 kilometros sa kinatibuk-an.' ,POSITIVE,,,,,,
Tungod sa pagpakabana sa usa ka lokal nga kagamhanan  ang DPWH 7 nag­kabuang na sa pagpasabot sa kontrobersiya.' ,NEGATIVE,,,,,,
Gibugoan lang kaha ang mga taga DPWH ug ang ilang kontraktor sa taga isla? Ang isla sa Camotes maoy sa mga isla sa Sugbo nga atong gipasigarbo nga destinasyon sa mga turista tungod sa maanindot ug puti nga baybayon.' ,NEGATIVE,,,,,,
Puno sa bahandi sa kadagatan sama sa nagkalainlaing klase sa mga isda nga gitumod sa sentro nga dakbayan sa Sugbo.',POSITIVE,,,,,,
Atong daygon ug pakpakan ang lokal nga ka­gamhanan sa Tudela ubos sa pagpangulo ni Mayor Erwin Yu sa ilang aktibong pagpakabana alang sa kaayohan sa katawhan sa dapit ug mga dumuduong sa mala-paraisong isla sa Camotes.' ,POSITIVE,,,,,,
Sa nakitang ehemplo  importante ang pagpakabana labi na ang yanong molupyo nga direktang naka­kita ug nasayod kon giunsa sa pagtrabaho ang pro­yekto sa kagamhanan sa ilang dapit.' ,POSITIVE,,,,,,
Kon sakto ug maayo ang pagpatuman sa proyekto  ang mga re­sidente usab sa dapit ang ma­kabanepis­yo niini.' ,NEUTRAL,,,,,,
Busa  atong awhagon ang relihiyusong grupo o simbahan  sibiko ug ubang sektoral nga kahugpo­ngan sa pagpakabana alang sa kaayohan ug kalamboan sa nasod.',POSITIVE,,,,,,
