newspaper:, Sunstar,,,,,date:, January 13 2016
title:, Sakripisyo ni Joy,,,,,Number of Sentences:,7
Author:,Nalzaro,,,,,Classification,POSITIVE
link:, http://www.sunstar.com.ph/superbalita-cebu/opinyon/2016/01/13/nalzaro-sakripisyo-ni-joy-451508,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
PUWERTING pangugat ni suspended Mayor Mike Rama sa dihang iyang nahibaw-an nga adunay mi-uli og P20 000 ngadto sa City Treasurer’s Office nga matod pa ang maong kantidad nagrepresentar niadtong calamity assistance nga nadawat sa mga opisyal ug mga empliyado sa City Hall.',POSITIVE,,,,,,
Nahimong kontrobersiyal ang maong calamity assistance kay gi-imbestigahan kini sa Office of the President pinaagi sa Department of Interior and Local Government (DILG) human misang-at og reklamo si Atty. Reymelio Delute nga matod pa sinugo sa usa ka laos nga pulitiko.' ,NEGATIVE,,,,,,
'Pwerting sukoa sa mayor kay wala siyay kalibutan niini og gusto kini niyang pa-imbestigahan.,NEGATIVE,,,,,,
Apan unsa bang pagka-unsaa nga ang iya man diay’ng hinigugma nga si kanhi Konsehal Joy Pesquera man diay ang nagbayad niini ngadto sa CTO.' ,NEUTRAL,,,,,,
Gisekreto ang pag-uli sa maong kantidad nga wala mopahibalo.,NEGATIVE,,,,,,
Ang iyang tumong mao lang unya ang pagsalbar sa suspendidong mayor kon aduna man gani silot nga ipahamtang.',POSITIVE,,,,,,
Adunay hugon-hugon nga adunay laing nag-ung-ong nga suspension ang mayor karong sunod buwan kabahin ning maong isyu.,POSITIVE,,,,,,
