newspaper:, Sunstar,,,,,Date:, January 13 2016
title: ,Senate Hearing,,,,,Number of Sentence,10
Author,Mongaya,,,,,Classifacation:,POSITIVE
link:, http://www.sunstar.com.ph/superbalita-cebu/opinyon/2016/01/25/mongaya-senate-hearing-453604,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
SA miaging 2014 dihang gisugdan ang mga Senate hearing kabahin sa mga anomaliya sa Syudad sa Makati  depensa sa kampo ni Bise Presidente Jojo Binay nga pamultika lang kini kay kuno hapit na ang piliay.,POSITIVE,,,,,,
Niadtong tungora nga ­ sa duha pa ka tuig sa dili pa ang piliay sa 2016  pamulitika lang gyud ang ilang malitok batok sa mga imbestigasyon. ,NEGATIVE,,,,,,
Kon pasanginlan si Binay nga sayo kaayo nangampanya  igo lang moingon nga lakip kini sa iyang trabaho.' ,POSITIVE,,,,,,
Maayo gani kay wala na niya gamita kini sa rason dihang namulitika atol sa Sinulog. Igo na lang siyang niingon nga wala makadungog sa lanog nga boo.' ,POSITIVE,,,,,,
Bisan pa man nisakay ang Binay karon niining mga lakang nga gipangulohan ni Sen. Grace Poe nga ablihan pagbalik ang Senate inquiry ngadto sa trahedya sa Mamasapano.' ,NEGATIVE,,,,,,
Klaro na mang gitumbok si Presidente Aquino nga responsible niini ug gani niangkon man siya bisan pag nataudtauran ang ‘loading.’' ,POSITIVE,,,,,,
Mao nga wa koy laing mahunahunaan nga rason niining ilang Senate Inquiry sa mao gihapon nga trahedya gawas sa politika.' ,POSITIVE,,,,,,
“Nganong magdala man siya nga aduna may mga existing officer dinhi nga haom usab sa maong mga puwesto?” ,NEGATIVE,,,,,,
“Asa man ibutang unya kining maong mga opisyal?” ,NEUTRAL,,,,,,
“Ilabay sa laing lugar?” ,NEUTRAL,,,,,,
